subject,stimulus_num,stimulus_name,v_quartile,a_quartile,split
sub-01,1,stimulus_1,0,1,test
sub-01,2,stimulus_2,1,1,val
sub-01,3,stimulus_3,2,3,train
sub-01,4,stimulus_4,1,0,train
sub-01,5,stimulus_5,0,3,train
sub-01,6,stimulus_6,2,1,train
sub-01,7,stimulus_7,1,0,train
sub-01,8,stimulus_8,3,0,val
sub-01,9,stimulus_9,0,0,train
sub-01,10,stimulus_10,3,3,test
sub-01,11,stimulus_11,3,3,train
sub-01,12,stimulus_12,2,1,val
sub-01,13,stimulus_13,3,3,train
sub-01,14,stimulus_14,2,2,train
sub-01,15,stimulus_15,0,3,train
sub-01,16,stimulus_16,3,3,train
sub-01,17,stimulus_17,3,2,train
sub-01,18,stimulus_18,0,2,train
sub-01,19,stimulus_19,3,2,train
sub-01,20,stimulus_20,2,3,test
sub-01,21,stimulus_21,0,2,train
sub-01,22,stimulus_22,1,3,train
sub-01,23,stimulus_23,3,2,val
sub-01,24,stimulus_24,1,1,train
sub-01,25,stimulus_25,0,1,train
sub-01,26,stimulus_26,3,1,train
sub-01,27,stimulus_27,0,2,train
sub-01,28,stimulus_28,0,1,train
sub-01,29,stimulus_29,3,2,test
sub-01,30,stimulus_30,0,2,train
sub-01,31,stimulus_31,0,2,train
sub-01,32,stimulus_32,2,2,train
sub-01,33,stimulus_33,2,2,train
sub-01,34,stimulus_34,2,2,train
sub-01,35,stimulus_35,3,2,train
sub-01,36,stimulus_36,2,1,train
sub-01,37,stimulus_37,3,3,train
sub-01,38,stimulus_38,2,2,test
sub-01,39,stimulus_39,2,0,train
sub-01,40,stimulus_40,3,1,train
sub-01,41,stimulus_41,3,1,test
sub-01,42,stimulus_42,1,1,train
sub-01,43,stimulus_43,3,2,train
sub-01,44,stimulus_44,2,2,train
sub-01,45,stimulus_45,0,1,train
sub-01,46,stimulus_46,0,1,train
sub-01,47,stimulus_47,1,0,val
sub-01,48,stimulus_48,0,0,test
sub-01,49,stimulus_49,2,0,train
sub-01,50,stimulus_50,2,1,train
sub-01,51,stimulus_51,0,0,test
sub-01,52,stimulus_52,1,1,train
sub-01,53,stimulus_53,1,0,test
sub-01,54,stimulus_54,1,1,train
sub-01,55,stimulus_55,2,3,train
sub-01,56,stimulus_56,1,1,train
sub-01,57,stimulus_57,2,3,train
sub-01,58,stimulus_58,3,3,train
sub-01,59,stimulus_59,0,0,train
sub-01,60,stimulus_60,1,2,train
